Activation,WeightInit,F1,precision,recall
LEAKYRELU,UNIFORM,0.6524037251447269,0.651865117822554,0.6521821577122693,
LEAKYRELU,XAVIER_FAN_IN,0.6497758525159926,0.6494847154421622,0.6497767755924826,
CUBE,ZERO,0.6973684210526315,0.5353535353535354,0.5,
HARDSIGMOID,UNIFORM,0.7175034387895461,0.6705689741550599,0.6569094446803336,
HARDTANH,XAVIER_FAN_IN,0.6886509987285181,0.6200204418018522,0.6008972260811852,
SOFTSIGN,XAVIER,0.6824746712653588,0.6263080515887973,0.6167043173208124,
IDENTITY,RELU,0.6576241695665929,0.5570364968455329,0.5431938197962742,
SELU,UNIFORM,0.6973035566583954,0.5721087774031473,0.5003380314204328,
SIGMOID,XAVIER_LEGACY,0.7098802653113964,0.6611800020948138,0.6487090909840425,
TANH,XAVIER_LEGACY,0.6575865954632306,0.645198255283753,0.6459275458506644,
IDENTITY,XAVIER_LEGACY,0.5078416728902166,0.5835856720785257,0.5762631863171477,
SOFTMAX,XAVIER,0.6973684210526315,0.5353535353535354,0.5,
LEAKYRELU,SIGMOID_UNIFORM,0.6108964667674562,0.6675120750602329,0.6571732740816469,
SOFTSIGN,XAVIER_UNIFORM,0.6899881490585086,0.6412101849603478,0.6335966130900605,
SELU,XAVIER_UNIFORM,0.6419741947126228,0.5938558512658112,0.5912870340216257,
RELU,UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
HARDTANH,SIGMOID_UNIFORM,0.6363225047507013,0.5885337984211336,0.5863144681570279,
SELU,DISTRIBUTION,0.6977960156198292,0.7013166590412282,0.5012305168170632,
IDENTITY,RELU_UNIFORM,0.6283717823562657,0.6374522743878737,0.6368996335244722,
SOFTSIGN,XAVIER_LEGACY,0.6897908099409976,0.6465347183672505,0.6413538158388332,
SIGMOID,RELU_UNIFORM,0.6809654047310589,0.6612395611542187,0.661721239503506,
HARDTANH,XAVIER_UNIFORM,0.6041687543842068,0.6007831230310786,0.6010878840469781,
ELU,XAVIER_LEGACY,0.6974145341532765,0.767703944362658,0.5001092418614813,
RRELU,RELU_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
LEAKYRELU,XAVIER,0.6973684210526315,0.5353535353535354,0.5,
LEAKYRELU,DISTRIBUTION,0.6395881595881596,0.649585622735259,0.6488719231926655,
SOFTSIGN,UNIFORM,0.6727127765596971,0.6679864477014825,0.6686416083699878,
ELU,SIGMOID_UNIFORM,0.6990853871395657,0.6099508260124868,0.5330198985081273,
RATIONALTANH,XAVIER_LEGACY,0.6538649467409361,0.6401852758313511,0.6408828391341448,
RRELU,RELU,0.6973684210526315,0.5353535353535354,0.5,
SOFTMAX,XAVIER_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
SOFTSIGN,RELU,0.6325027741349742,0.6326687409179381,0.6328865409904321,
SELU,RELU_UNIFORM,0.6497783957591032,0.5876792365242083,0.5819025397702211,
HARDSIGMOID,RELU_UNIFORM,0.682420336555675,0.6382266233970141,0.6334966464809693,
SOFTSIGN,RELU_UNIFORM,0.6509052388289676,0.6308537647112733,0.6313252068381283,
RATIONALTANH,UNIFORM,0.6190088531596621,0.6232885726943318,0.6232021469117532,
SOFTSIGN,XAVIER_FAN_IN,0.6735155513666352,0.6464115399165618,0.6461212955672538,
SOFTMAX,XAVIER_FAN_IN,0.6973684210526315,0.5353535353535354,0.5,
HARDTANH,ZERO,0.6973684210526315,0.5353535353535354,0.5,
SELU,ZERO,0.6973684210526315,0.5353535353535354,0.5,
TANH,XAVIER_FAN_IN,0.6776302265345557,0.6045079867389994,0.5883529625156133,
RELU,XAVIER_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
SIGMOID,XAVIER,0.7031643293779216,0.6639324363302281,0.6589417555373257,
TANH,XAVIER_UNIFORM,0.6709969207082371,0.6517574998321687,0.6522852160721573,
RECTIFIEDTANH,XAVIER_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
RECTIFIEDTANH,XAVIER_LEGACY,0.6973684210526315,0.5353535353535354,0.5,
RELU,XAVIER,0.6973684210526315,0.5353535353535354,0.5,
RATIONALTANH,DISTRIBUTION,0.6419987650216121,0.6155898486035635,0.6156562138007511,
HARDTANH,DISTRIBUTION,0.7095553453169348,0.6451191389377722,0.608713172095094,
HARDSIGMOID,XAVIER,0.6562006319115323,0.6470535940545619,0.6477619846566713,
SOFTSIGN,DISTRIBUTION,0.6895238095238095,0.6434246662648355,0.6371016279098527,
ELU,ZERO,0.6973684210526315,0.5353535353535354,0.5,
LEAKYRELU,ZERO,0.6973684210526315,0.5353535353535354,0.5,
SELU,XAVIER,0.6491897853567491,0.5768112798344482,0.5691696794060541,
ELU,XAVIER_FAN_IN,0.6222116301239276,0.5959302511978007,0.596075125422024,
IDENTITY,XAVIER_UNIFORM,0.6874978703104234,0.51358089120835,0.5023827092806114,
HARDSIGMOID,DISTRIBUTION,0.6581532416502947,0.6468551568456347,0.6475909077792572,
RATIONALTANH,ZERO,0.6973684210526315,0.5353535353535354,0.5,
HARDSIGMOID,XAVIER_FAN_IN,0.6977747279678462,0.6870048518880254,0.6879444391770171,
RATIONALTANH,SIGMOID_UNIFORM,0.6022324498756811,0.6266226731514168,0.6243296053689283,
TANH,RELU,0.5774941995359629,0.6578204916686101,0.6423163809201875,
