Activation,WeightInit,F1,precision,recall
HARDSIGMOID,UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
HARDTANH,XAVIER_FAN_IN,0.6783405172413794,0.6345068200336618,0.6302874091540558,
RRELU,XAVIER,0.5773648986115273,0.5719308534766003,0.5721872281835758,
SOFTSIGN,XAVIER,0.6867569809234171,0.6529417512503588,0.6510145064947378,
SELU,UNIFORM,0.6838835311572701,0.6518696188299087,0.6504775724397212,
SIGMOID,XAVIER_LEGACY,0.6973684210526315,0.5353535353535354,0.5,
TANH,XAVIER_LEGACY,0.7020787186914296,0.6484422487905571,0.6346168908529521,
RRELU,UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
IDENTITY,XAVIER_LEGACY,0.5901217460160348,0.5803329041114595,0.580706032211921,
SOFTMAX,XAVIER,0.6973684210526315,0.5353535353535354,0.5,
SOFTSIGN,XAVIER_UNIFORM,0.6200830203597548,0.6103752955427582,0.6109000704919182,
SELU,XAVIER_UNIFORM,0.6882849109653234,0.6604382950648509,0.6597682835836278,
RELU,UNIFORM,0.6815173232300179,0.6438151108726451,0.6411435767846616,
HARDTANH,SIGMOID_UNIFORM,0.6039686684073107,0.6214704175057686,0.6201227631182986,
SELU,DISTRIBUTION,0.6973684210526315,0.5353535353535354,0.5,
SOFTSIGN,XAVIER_LEGACY,0.6898566356568245,0.6483120197329637,0.6437798096305976,
SIGMOID,RELU_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
HARDTANH,XAVIER_UNIFORM,0.6995414828272343,0.649032591653601,0.6383568787332892,
ELU,XAVIER_LEGACY,0.6911810532876286,0.6469331078629403,0.6411786166270236,
RRELU,RELU_UNIFORM,0.5950475120535506,0.5579770314638394,0.5577085592029054,
LEAKYRELU,XAVIER,0.6835536655264861,0.650437573867775,0.6488111187603316,
LEAKYRELU,DISTRIBUTION,0.681244581446874,0.6629929476409009,0.6635876264010784,
SOFTSIGN,UNIFORM,0.6399625643425363,0.6070141845177695,0.6065036008590945,
ELU,SIGMOID_UNIFORM,0.6950777024714178,0.5814282571701797,0.5162790985279144,
RATIONALTANH,XAVIER_LEGACY,0.6862663906142168,0.6518751358886182,0.6498241824380311,
RRELU,RELU,0.6014557074383099,0.5383243277788268,0.5367083572085201,
SOFTMAX,XAVIER_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
SOFTSIGN,RELU,0.6689423076923078,0.6492792572306753,0.6497788367596803,
SELU,RELU_UNIFORM,0.6935345239232164,0.6728035164205377,0.6731411363626995,
HARDSIGMOID,RELU_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
SOFTSIGN,RELU_UNIFORM,0.6351022743527392,0.6098520441587303,0.6100271661836665,
RATIONALTANH,UNIFORM,0.6808987714299062,0.6512315486423438,0.6503951257518108,
SOFTSIGN,XAVIER_FAN_IN,0.6944754588897326,0.6518220544048576,0.646335656955821,
SOFTMAX,XAVIER_FAN_IN,0.6973684210526315,0.5353535353535354,0.5,
HARDTANH,ZERO,0.6973684210526315,0.5353535353535354,0.5,
RRELU,XAVIER_UNIFORM,0.6100976815346594,0.46891631356742847,0.47711279943606466,
SELU,ZERO,0.6973684210526315,0.5353535353535354,0.5,
TANH,XAVIER_FAN_IN,0.6717093852380035,0.6530452852698451,0.6536105465803175,
RELU,XAVIER_UNIFORM,0.6428536188267799,0.6330405505542301,0.6336862738631632,
SIGMOID,XAVIER,0.6973684210526315,0.5353535353535354,0.5,
TANH,XAVIER_UNIFORM,0.6043060959792478,0.6184288023690847,0.6174782856035717,
RECTIFIEDTANH,XAVIER_UNIFORM,0.5598716246126604,0.6107848127791287,0.6051360164233802,
RECTIFIEDTANH,XAVIER_LEGACY,0.6446810430388884,0.5970028164068109,0.5943478673103004,
RELU,XAVIER,0.678473481150932,0.6467798318390787,0.6456255848561924,
RATIONALTANH,DISTRIBUTION,0.6883307440013811,0.6341004874936335,0.6240822653051971,
HARDTANH,DISTRIBUTION,0.6284517994217925,0.6229903562523196,0.6234649457294676,
HARDSIGMOID,XAVIER,0.6973684210526315,0.5353535353535354,0.5,
SOFTSIGN,DISTRIBUTION,0.6921409724839803,0.6665478800623332,0.6662063393258335,
ELU,ZERO,0.6973684210526315,0.5353535353535354,0.5,
LEAKYRELU,ZERO,0.6973684210526315,0.5353535353535354,0.5,
SELU,XAVIER,0.6966922758430326,0.6635639794960189,0.6613461070735136,
ELU,XAVIER_FAN_IN,0.6781881533101045,0.6462631212212342,0.6450721614635937,
HARDSIGMOID,DISTRIBUTION,0.6973684210526315,0.5353535353535354,0.5,
RRELU,XAVIER_LEGACY,0.6973684210526315,0.5353535353535354,0.5,
RATIONALTANH,ZERO,0.6973684210526315,0.5353535353535354,0.5,
HARDSIGMOID,XAVIER_FAN_IN,0.6973684210526315,0.5353535353535354,0.5,
RATIONALTANH,SIGMOID_UNIFORM,0.5937396671442743,0.6412666306652697,0.6345591781714148,
TANH,RELU,0.6483276658376897,0.6515377987492907,0.6515421652973645,
